contract_id,instr,code,exchange,product_type,contract_unit,price_tick,upper_limit_price,lower_limit_price,long_margin_rate,short_margin_rate,max_limit_order_volume,min_limit_order_volume,max_market_order_volume,min_market_order_volume,list_date,expire_date,underlying_type,underlying_symbol,exercise_date,exercise_price
0,FUT_CZCE_AP-202410,AP410,CZCE,Futures,10,1,7424,6198,0.1,0.1,1000,1,200,1,,2024-10-21,Unknown,,,0
1,FUT_CZCE_AP-202411,AP411,CZCE,Futures,10,1,7152,5970,0.1,0.1,1000,1,200,1,,2024-11-14,Unknown,,,0
2,OPT_CZCE_AP-202411-C-5600,AP411C5600,CZCE,Options,10,0.5,1557.5,375.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5600
3,OPT_CZCE_AP-202411-C-5700,AP411C5700,CZCE,Options,10,0.5,1460.5,278.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5700
4,OPT_CZCE_AP-202411-C-5800,AP411C5800,CZCE,Options,10,0.5,1364,182,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5800
5,OPT_CZCE_AP-202411-C-5900,AP411C5900,CZCE,Options,10,0.5,1268.5,86.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5900
6,OPT_CZCE_AP-202411-C-6000,AP411C6000,CZCE,Options,10,0.5,1175.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6000
7,OPT_CZCE_AP-202411-C-6100,AP411C6100,CZCE,Options,10,0.5,1085,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6100
8,OPT_CZCE_AP-202411-C-6200,AP411C6200,CZCE,Options,10,0.5,997.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6200
9,OPT_CZCE_AP-202411-C-6300,AP411C6300,CZCE,Options,10,0.5,914,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6300
10,OPT_CZCE_AP-202411-C-6400,AP411C6400,CZCE,Options,10,0.5,836.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6400
11,OPT_CZCE_AP-202411-C-6500,AP411C6500,CZCE,Options,10,0.5,766,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6500
12,OPT_CZCE_AP-202411-C-6600,AP411C6600,CZCE,Options,10,0.5,705.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6600
13,OPT_CZCE_AP-202411-C-6700,AP411C6700,CZCE,Options,10,0.5,673.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6700
14,OPT_CZCE_AP-202411-C-6800,AP411C6800,CZCE,Options,10,0.5,651.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6800
15,OPT_CZCE_AP-202411-C-6900,AP411C6900,CZCE,Options,10,0.5,635,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6900
16,OPT_CZCE_AP-202411-C-7000,AP411C7000,CZCE,Options,10,0.5,623,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7000
17,OPT_CZCE_AP-202411-C-7100,AP411C7100,CZCE,Options,10,0.5,614.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7100
18,OPT_CZCE_AP-202411-C-7200,AP411C7200,CZCE,Options,10,0.5,608,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7200
19,OPT_CZCE_AP-202411-C-7300,AP411C7300,CZCE,Options,10,0.5,603.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7300
20,OPT_CZCE_AP-202411-C-7400,AP411C7400,CZCE,Options,10,0.5,600.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7400
21,OPT_CZCE_AP-202411-C-7500,AP411C7500,CZCE,Options,10,0.5,598,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7500
22,OPT_CZCE_AP-202411-C-7600,AP411C7600,CZCE,Options,10,0.5,596,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7600
23,OPT_CZCE_AP-202411-C-7700,AP411C7700,CZCE,Options,10,0.5,595,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7700
24,OPT_CZCE_AP-202411-C-7800,AP411C7800,CZCE,Options,10,0.5,594,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7800
25,OPT_CZCE_AP-202411-C-7900,AP411C7900,CZCE,Options,10,0.5,593,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7900
26,OPT_CZCE_AP-202411-C-8000,AP411C8000,CZCE,Options,10,0.5,592.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8000
27,OPT_CZCE_AP-202411-C-8100,AP411C8100,CZCE,Options,10,0.5,592,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8100
28,OPT_CZCE_AP-202411-C-8200,AP411C8200,CZCE,Options,10,0.5,592,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8200
29,OPT_CZCE_AP-202411-C-8300,AP411C8300,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8300
30,OPT_CZCE_AP-202411-C-8400,AP411C8400,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8400
31,OPT_CZCE_AP-202411-C-8500,AP411C8500,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8500
32,OPT_CZCE_AP-202411-C-8600,AP411C8600,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8600
33,OPT_CZCE_AP-202411-C-8700,AP411C8700,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8700
34,OPT_CZCE_AP-202411-C-8800,AP411C8800,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8800
35,OPT_CZCE_AP-202411-C-8900,AP411C8900,CZCE,Options,10,0.5,591.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8900
36,OPT_CZCE_AP-202411-P-5600,AP411P5600,CZCE,Options,10,0.5,597.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5600
37,OPT_CZCE_AP-202411-P-5700,AP411P5700,CZCE,Options,10,0.5,600,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5700
38,OPT_CZCE_AP-202411-P-5800,AP411P5800,CZCE,Options,10,0.5,604,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5800
39,OPT_CZCE_AP-202411-P-5900,AP411P5900,CZCE,Options,10,0.5,608.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,5900
40,OPT_CZCE_AP-202411-P-6000,AP411P6000,CZCE,Options,10,0.5,615.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6000
41,OPT_CZCE_AP-202411-P-6100,AP411P6100,CZCE,Options,10,0.5,624.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6100
42,OPT_CZCE_AP-202411-P-6200,AP411P6200,CZCE,Options,10,0.5,637,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6200
43,OPT_CZCE_AP-202411-P-6300,AP411P6300,CZCE,Options,10,0.5,653.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6300
44,OPT_CZCE_AP-202411-P-6400,AP411P6400,CZCE,Options,10,0.5,675.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6400
45,OPT_CZCE_AP-202411-P-6500,AP411P6500,CZCE,Options,10,0.5,705,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6500
46,OPT_CZCE_AP-202411-P-6600,AP411P6600,CZCE,Options,10,0.5,744,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6600
47,OPT_CZCE_AP-202411-P-6700,AP411P6700,CZCE,Options,10,0.5,812.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6700
48,OPT_CZCE_AP-202411-P-6800,AP411P6800,CZCE,Options,10,0.5,890,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6800
49,OPT_CZCE_AP-202411-P-6900,AP411P6900,CZCE,Options,10,0.5,973.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,6900
50,OPT_CZCE_AP-202411-P-7000,AP411P7000,CZCE,Options,10,0.5,1061.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7000
51,OPT_CZCE_AP-202411-P-7100,AP411P7100,CZCE,Options,10,0.5,1152.5,0.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7100
52,OPT_CZCE_AP-202411-P-7200,AP411P7200,CZCE,Options,10,0.5,1246,64,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7200
53,OPT_CZCE_AP-202411-P-7300,AP411P7300,CZCE,Options,10,0.5,1342,160,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7300
54,OPT_CZCE_AP-202411-P-7400,AP411P7400,CZCE,Options,10,0.5,1438.5,256.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7400
55,OPT_CZCE_AP-202411-P-7500,AP411P7500,CZCE,Options,10,0.5,1536,354,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7500
56,OPT_CZCE_AP-202411-P-7600,AP411P7600,CZCE,Options,10,0.5,1634,452,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7600
57,OPT_CZCE_AP-202411-P-7700,AP411P7700,CZCE,Options,10,0.5,1733,551,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7700
58,OPT_CZCE_AP-202411-P-7800,AP411P7800,CZCE,Options,10,0.5,1832,650,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7800
59,OPT_CZCE_AP-202411-P-7900,AP411P7900,CZCE,Options,10,0.5,1931,749,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,7900
60,OPT_CZCE_AP-202411-P-8000,AP411P8000,CZCE,Options,10,0.5,2030.5,848.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8000
61,OPT_CZCE_AP-202411-P-8100,AP411P8100,CZCE,Options,10,0.5,2130.5,948.5,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8100
62,OPT_CZCE_AP-202411-P-8200,AP411P8200,CZCE,Options,10,0.5,2230,1048,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8200
63,OPT_CZCE_AP-202411-P-8300,AP411P8300,CZCE,Options,10,0.5,2330,1148,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8300
64,OPT_CZCE_AP-202411-P-8400,AP411P8400,CZCE,Options,10,0.5,2430,1248,0,0,100,1,2,1,,2024-09-26,Futures,FUT_CZCE_AP-202411,2024-09-26,8400
